C,NEMP.WORLD,GSH_BENCHMARK_PRICE_FIRM_WEB,AEMO,PUBLIC,2020/03/01,19:30:07,0000000319759750,GSH,0000000319759749
D,GSH,BENCHMARK_PRICE,1,"2020/02/13 00:00:00",WAL,"Gas - NG DA Days",6.35,1,"2020/02/12 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/02/13 00:00:00",SEQ,"Gas - NG DA Days",6.01,1,"2020/02/12 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/02/12 00:00:00",WAL,"Gas - NG DA Days",6.35,1,"2020/02/11 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2020/02/12 00:00:00",SEQ,"Gas - NG DA Days",6.01,1,"2020/02/11 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2020/02/11 00:00:00",WAL,"Gas - NG DA Days",6.35,1,"2020/02/10 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2020/02/11 00:00:00",SEQ,"Gas - NG DA Days",6.01,1,"2020/02/10 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2020/02/10 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/02/09 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2020/02/10 00:00:00",SEQ,"Gas - NG DA Days",5.70,1,"2020/02/09 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2020/02/09 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/02/08 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/02/09 00:00:00",SEQ,"Gas - NG DA Days",5.70,1,"2020/02/08 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/02/08 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/02/07 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2020/02/08 00:00:00",SEQ,"Gas - NG DA Days",5.96,1,"2020/02/07 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2020/02/07 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/02/06 19:30:00"
D,GSH,BENCHMARK_PRICE,1,"2020/02/07 00:00:00",SEQ,"Gas - NG DA Days",5.96,1,"2020/02/06 19:30:00"
D,GSH,BENCHMARK_PRICE,1,"2020/02/06 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/02/05 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2020/02/06 00:00:00",SEQ,"Gas - NG DA Days",5.91,1,"2020/02/05 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2020/02/05 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/02/04 19:30:00"
D,GSH,BENCHMARK_PRICE,1,"2020/02/05 00:00:00",SEQ,"Gas - NG DA Days",5.91,1,"2020/02/04 19:30:00"
D,GSH,BENCHMARK_PRICE,1,"2020/02/04 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/02/03 19:30:04"
D,GSH,BENCHMARK_PRICE,1,"2020/02/04 00:00:00",SEQ,"Gas - NG DA Days",5.96,1,"2020/02/03 19:30:04"
D,GSH,BENCHMARK_PRICE,1,"2020/02/03 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/02/02 19:30:01"
D,GSH,BENCHMARK_PRICE,1,"2020/02/03 00:00:00",SEQ,"Gas - NG DA Days",5.96,1,"2020/02/02 19:30:01"
D,GSH,BENCHMARK_PRICE,1,"2020/02/02 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/02/01 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2020/02/02 00:00:00",SEQ,"Gas - NG DA Days",6.15,1,"2020/02/01 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2020/02/01 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/01/31 19:30:09"
D,GSH,BENCHMARK_PRICE,1,"2020/02/01 00:00:00",SEQ,"Gas - NG DA Days",6,1,"2020/01/31 19:30:09"
D,GSH,BENCHMARK_PRICE,1,"2020/01/31 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/01/30 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2020/01/31 00:00:00",SEQ,"Gas - NG DA Days",5.85,1,"2020/01/30 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2020/01/30 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/01/29 19:30:09"
D,GSH,BENCHMARK_PRICE,1,"2020/01/30 00:00:00",SEQ,"Gas - NG DA Days",5.96,1,"2020/01/29 19:30:09"
D,GSH,BENCHMARK_PRICE,1,"2020/01/29 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/01/28 19:30:04"
D,GSH,BENCHMARK_PRICE,1,"2020/01/29 00:00:00",SEQ,"Gas - NG DA Days",5.96,1,"2020/01/28 19:30:04"
D,GSH,BENCHMARK_PRICE,1,"2020/01/28 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/01/27 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2020/01/28 00:00:00",SEQ,"Gas - NG DA Days",5.96,1,"2020/01/27 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2020/01/27 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/01/26 19:30:04"
D,GSH,BENCHMARK_PRICE,1,"2020/01/27 00:00:00",SEQ,"Gas - NG DA Days",5.96,1,"2020/01/26 19:30:04"
D,GSH,BENCHMARK_PRICE,1,"2020/01/26 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/01/25 19:30:02"
D,GSH,BENCHMARK_PRICE,1,"2020/01/26 00:00:00",SEQ,"Gas - NG DA Days",5.96,1,"2020/01/25 19:30:02"
D,GSH,BENCHMARK_PRICE,1,"2020/01/25 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/01/24 19:30:01"
D,GSH,BENCHMARK_PRICE,1,"2020/01/25 00:00:00",SEQ,"Gas - NG DA Days",5.96,1,"2020/01/24 19:30:01"
D,GSH,BENCHMARK_PRICE,1,"2020/01/24 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/01/23 19:30:04"
D,GSH,BENCHMARK_PRICE,1,"2020/01/24 00:00:00",SEQ,"Gas - NG DA Days",5.98,1,"2020/01/23 19:30:04"
D,GSH,BENCHMARK_PRICE,1,"2020/01/23 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/01/22 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2020/01/23 00:00:00",SEQ,"Gas - NG DA Days",5.98,1,"2020/01/22 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2020/01/22 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/01/21 19:30:02"
D,GSH,BENCHMARK_PRICE,1,"2020/01/22 00:00:00",SEQ,"Gas - NG DA Days",5.98,1,"2020/01/21 19:30:02"
D,GSH,BENCHMARK_PRICE,1,"2020/01/21 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/01/20 19:30:09"
D,GSH,BENCHMARK_PRICE,1,"2020/01/21 00:00:00",SEQ,"Gas - NG DA Days",5.98,1,"2020/01/20 19:30:09"
D,GSH,BENCHMARK_PRICE,1,"2020/01/20 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/01/19 19:30:04"
D,GSH,BENCHMARK_PRICE,1,"2020/01/20 00:00:00",SEQ,"Gas - NG DA Days",5.96,1,"2020/01/19 19:30:04"
D,GSH,BENCHMARK_PRICE,1,"2020/01/19 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/01/18 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2020/01/19 00:00:00",SEQ,"Gas - NG DA Days",5.97,1,"2020/01/18 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2020/01/18 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/01/17 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/01/18 00:00:00",SEQ,"Gas - NG DA Days",5.97,1,"2020/01/17 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/01/17 00:00:00",WAL,"Gas - NG DA Days",6.31,1,"2020/01/16 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2020/01/17 00:00:00",SEQ,"Gas - NG DA Days",5.90,1,"2020/01/16 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2020/01/16 00:00:00",WAL,"Gas - NG DA Days",6.42,1,"2020/01/15 19:30:01"
D,GSH,BENCHMARK_PRICE,1,"2020/01/16 00:00:00",SEQ,"Gas - NG DA Days",6.07,1,"2020/01/15 19:30:01"
D,GSH,BENCHMARK_PRICE,1,"2020/01/15 00:00:00",WAL,"Gas - NG DA Days",6.42,1,"2020/01/14 19:30:01"
D,GSH,BENCHMARK_PRICE,1,"2020/01/15 00:00:00",SEQ,"Gas - NG DA Days",6.02,1,"2020/01/14 19:30:01"
D,GSH,BENCHMARK_PRICE,1,"2020/01/14 00:00:00",WAL,"Gas - NG DA Days",6.42,1,"2020/01/13 19:30:02"
D,GSH,BENCHMARK_PRICE,1,"2020/01/14 00:00:00",SEQ,"Gas - NG DA Days",5.99,1,"2020/01/13 19:30:02"
